Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.50-192.168.10.3-56108-3268-6,192.168.10.50,56108,192.168.10.3,3268,6,07/07/2017 01:59:50 PM,112740690,32,16,6448.0,1152.0,403.0,0.0,201.49999999999997,204.7242047243071,72.0,72.0,72.0,0.0,67.41133125937051,0.42575577637497164,2398738.085106384,5798697.939615642,1.6399772E7,3.0,1.1274069E8,3636796.451612903,6848760.823251897,1.6399772E7,3.0,1.12740348E8,7516023.199999999,8323384.9149341285,1.640011E7,3.0,16,16,0,0,1024,512,0.28383718424998106,0.14191859212499053,0.0,403.0,158.33333333333331,177.34175845181005,31450.099290780137,0,0,0,32,48,0,0,0,0.5,158.33333333333334,201.5,72.0,0,0,0,0,0,0,0,134,0,24,377,2079,15,32,359.4285714285714,11.998015708957073,380.0,343.0,1.6105402142857144E7,498804.82032836194,1.6399772E7,1.5375229E7,BENIGN
192.168.10.50-192.168.10.3-42144-389-6,192.168.10.50,42144,192.168.10.3,389,6,07/07/2017 01:59:50 PM,112740560,32,16,6448.0,5056.0,403.0,0.0,201.49999999999997,204.7242047243071,316.0,316.0,316.0,0.0,102.03958539854689,0.4257562673096532,2398735.3191489354,5798709.67038112,1.6399782E7,2.0,1.1274056E8,3636792.258064516,6848776.835653429,1.6399782E7,2.0,1.12740242E8,7516016.133333333,8323376.147469134,1.640011E7,4.0,16,16,0,0,1024,512,0.2838375115397688,0.1419187557698844,0.0,403.0,239.66666666666666,174.98417354980364,30619.4609929078,0,0,0,32,48,0,0,0,0.5,239.66666666666666,201.5,316.0,0,0,0,0,0,0,0,134,0,105,955,2079,15,32,320.2857142857143,15.744991645115658,330.0,285.0,1.6105427428571427E7,498793.66556050593,1.6399782E7,1.5375263E7,BENIGN
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,07/07/2017 02:00:31 PM,113757377,545,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.790898088305957,209112.82536764702,1395543.4335203236,2.075703E7,0.0,1.13757377E8,209112.82536764702,1395543.4335203236,2.075703E7,0.0,0,0,0,0,0,0,0,0,0,0,0,4.790898088305957,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9361828.6,7324645.8834130205,1.8851791E7,19.0,1.22103584E7,6935824.001671993,2.075703E7,5504997.0,BENIGN
192.168.10.25-224.0.0.251-5353-5353-17,192.168.10.25,5353,224.0.0.251,5353,17,07/07/2017 02:00:42 PM,91997219,388,0,37151.0,0.0,227.0,37.0,95.74999999999996,55.78532009395031,0,0,0,0,403.82742439203514,4.2175187926061115,237718.9121447028,1511621.936943494,1.9776791E7,0.0,9.1997219E7,237718.9121447028,1511621.936943494,1.9776791E7,0.0,0,0,0,0,0,0,0,0,0,3104,0,4.2175187926061115,0.0,37.0,227.0,95.74999999999996,55.78532009395031,3112.001937984496,0,0,0,0,0,0,0,0,0.0,95.75,95.75,0.0,1857,19,9453,0,0,0,1,95,0,0,0,0,387,8,9801663.75,1.1527818048299814E7,2.4721964E7,16.0,1.3197637E7,5826904.514499787,1.9776791E7,5817470.0,BENIGN
192.168.10.25-17.253.14.125-123-123-17,192.168.10.25,123,17.253.14.125,123,17,07/07/2017 02:00:42 PM,66966070,6,6,288.0,288.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,8.601370813607547,0.17919522528349058,6087824.545454546,1.953823476252615E7,6.4974431E7,191.0,6.6942603E7,1.33885206E7,2.8861551296498742E7,6.4997739E7,23560.0,6.6942654E7,1.33885308E7,2.8861632539185856E7,6.4997898E7,23604.0,0,0,0,0,48,48,0.08959761264174529,0.08959761264174529,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,5,8,1968172.0,0.0,1968172.0,1968172.0,6.4974431E7,0.0,6.4974431E7,6.4974431E7,BENIGN
192.168.10.5-192.168.10.3-123-123-17,192.168.10.5,123,192.168.10.3,123,17,07/07/2017 02:00:53 PM,66137889,6,6,288.0,288.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,8.709077485070623,0.18143911427230464,6012535.363636363,1.9448755095247675E7,6.4637028E7,3.0,6.6137817E7,1.32275634E7,2.8746151468272947E7,6.4637102E7,4.0,6.613777E7,1.3227554E7,2.874615518956863E7,6.46371E7,3.0,0,0,0,0,48,48,0.09071955713615232,0.09071955713615232,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,5,8,1500785.0,0.0,1500785.0,1500785.0,6.4637028E7,0.0,6.4637028E7,6.4637028E7,BENIGN
192.168.10.5-192.168.10.3-49159-445-6,192.168.10.5,49159,192.168.10.3,445,6,07/07/2017 02:00:50 PM,106176490,124,115,34190.0,46138.0,3072.0,0.0,275.7258064516129,457.27283380041797,3254.0,0.0,401.1999999999998,540.0161823436242,756.5516622370922,2.2509691175513526,446119.705882353,3421781.8953002538,3.0004236E7,1.0,1.06176446E8,863223.1382113821,4731005.7719175825,3.000428E7,1.0,1.06176479E8,931372.6228070178,4913672.074286362,3.0008565E7,1.0,98,98,0,0,2504,2396,1.1678668224952624,1.08310229505609,0.0,3254.0,336.10041841004187,501.68982344612493,251692.67894940398,0,4,0,196,237,0,0,0,0.9274193548387096,336.10041841004187,275.7258064516129,401.2,0,0,0,15268,7,58949806,0,143,0,193,8192,2053,106,20,215205.0,425384.819456454,974787.0,43.0,2.10200836E7,1.2378161351736162E7,3.0004236E7,5349458.0,BENIGN
192.168.10.5-134.170.115.55-49176-443-6,192.168.10.5,49176,134.170.115.55,443,6,07/07/2017 02:00:55 PM,79593267,10,9,1602.0,5307.0,421.0,0.0,160.2,187.82249303235457,2920.0,0.0,589.6666666666666,921.6010525167601,86.80382475065385,0.2387136590334959,4421848.166666666,1.3697441847582988E7,5.4080751E7,72.0,7.9593267E7,8843696.333333334,1.886859110215026E7,5.4145439E7,17008.0,7.9512097E7,9939012.125,1.9825146621524986E7,5.4080751E7,195.0,5,5,0,0,212,192,0.12563876791236625,0.11307489112112963,0.0,2920.0,363.6315789473683,666.0811771120124,443664.134502924,0,2,0,10,18,0,0,0,0.9,363.63157894736844,160.2,589.6666666666666,0,0,0,0,0,0,0,84,0,279,8192,251,5,20,111508.0,39316.551247534415,139309.0,83707.0,3.9456963E7,2.0681159322868917E7,5.4080751E7,2.4833175E7,BENIGN
192.168.10.9-192.168.10.3-123-123-17,192.168.10.9,123,192.168.10.3,123,17,07/07/2017 02:01:07 PM,64318195,4,4,192.0,192.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,5.9703167976029174,0.12438159995006078,9188313.57142857,2.430990977789507E7,6.4318007E7,3.0,6.4318111E7,2.1439370333333336E7,3.713407350346581E7,6.4318105E7,3.0,6.4318097E7,2.1439365666666664E7,3.7134027315450795E7,6.4318047E7,3.0,0,0,0,0,32,32,0.06219079997503039,0.06219079997503039,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,3,8,101.0,0.0,101.0,101.0,6.4318007E7,0.0,6.4318007E7,6.4318007E7,BENIGN
192.168.10.14-192.168.10.3-49414-445-6,192.168.10.14,49414,192.168.10.3,445,6,07/07/2017 02:00:48 PM,116933759,206,190,42254.0,54958.0,3085.0,0.0,205.11650485436866,365.8975813242605,3254.0,0.0,289.25263157894756,466.75652124562055,831.3424697139857,3.3865327120801787,296034.8329113924,2702330.4899502792,3.0000694E7,0.0,1.16933718E8,570408.3804878049,3734537.5843732557,3.0000727E7,0.0,1.16933741E8,618697.0423280423,3890334.081495693,3.0005472E7,1.0,174,174,0,0,4144,3896,1.7616811583043355,1.6248515537758434,0.0,3254.0,245.48484848484816,418.9230644725422,175496.53394706576,0,4,0,348,394,0,0,0,0.9223300970873787,245.4848484848485,205.11650485436894,289.2526315789474,0,0,0,15268,6,52830449,0,106,0,138,8192,2047,182,20,404153.3333333333,890020.3235024842,2219566.0,36.0,1.9084799166666664E7,1.2040258268911185E7,3.0000694E7,5323604.0,BENIGN
