Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,06/07/2017 01:59:05 PM,119945515,150,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.2505678098926833,805003.4563758392,5277836.772142007,6.0127797E7,0.0,1.19945515E8,805003.4563758392,5277836.772142007,6.0127797E7,0.0,0,0,0,0,0,0,0,0,0,0,0,1.2505678098926833,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6909777.333333333,1.1653682032285605E7,2.0364643E7,6.0,2.436881725E7,2.4313261025697414E7,6.0127797E7,5702188.0,BENIGN
192.168.10.50-192.168.10.3-33898-389-6,192.168.10.50,33898,192.168.10.3,389,6,06/07/2017 01:59:00 PM,113095465,48,24,9668.0,10012.0,403.0,0.0,201.41666666666663,203.548293536002,923.0,316.0,417.16666666666663,231.08095074475838,174.0122824553575,0.6366303016659421,1592893.8732394362,4597264.5950588,1.6482821E7,3.0,1.13095465E8,2406286.489361702,5491986.113731612,1.6482821E7,3.0,1.13095083E8,4917177.521739131,7084368.262545638,1.648321E7,3.0,24,24,0,0,1536,768,0.42442020111062806,0.21221010055531403,0.0,923.0,273.3333333333333,234.97773343716545,55214.53521126759,0,0,0,48,72,0,0,0,0.5,273.3333333333333,201.41666666666666,417.1666666666667,0,0,0,0,0,0,0,134,0,139,571,2079,23,32,203985.5,575837.2561811937,1629110.0,379.0,1.3821156E7,4277541.061765977,1.6482821E7,6737603.0,BENIGN
192.168.10.50-192.168.10.3-33904-389-6,192.168.10.50,33904,192.168.10.3,389,6,06/07/2017 01:59:00 PM,113473706,68,40,11364.0,12718.0,403.0,0.0,167.11764705882354,171.91941269109975,1139.0,126.0,317.95000000000005,208.2612942115425,212.22537668770596,0.9517623404315357,1060501.9252336444,3813685.4511529133,1.6482853E7,2.0,1.13473706E8,1693637.4029850743,4719143.265092272,1.6482853E7,2.0,1.1342759E8,2908399.743589744,5922355.273287184,1.6483212E7,3.0,40,40,0,0,2176,1280,0.5992577699013373,0.3525045705301984,0.0,1139.0,222.9814814814815,199.17544895629982,39670.85946694359,0,0,0,80,108,0,0,0,0.5882352941176471,222.9814814814815,167.11764705882354,317.95,0,0,0,0,0,0,0,105,0,117,390,2081,39,32,178326.875,503426.94601286424,1424245.0,325.0,1.3846819125E7,4229413.119725492,1.6482853E7,6945512.0,BENIGN
192.168.10.19-192.168.10.3-32794-389-6,192.168.10.19,32794,192.168.10.3,389,6,06/07/2017 02:00:43 PM,118034439,106,61,17896.0,27110.0,1313.0,0.0,168.83018867924525,225.32057466125536,3069.0,0.0,444.4262295081966,470.0420356739878,381.29549630849687,1.414841307459427,711050.8373493976,4579006.974901178,4.9024651E7,0.0,1.18034439E8,1124137.5142857146,5726832.073081604,4.9024651E7,1.0,1.17995477E8,1966591.283333334,7492250.657582123,4.9025137E7,2.0,58,58,0,0,3408,1968,0.8980429855730495,0.5167983218863775,0.0,3069.0,269.49700598802383,360.120058197656,129686.45631628318,0,4,0,116,165,0,0,0,0.5754716981132075,269.49700598802394,168.83018867924528,444.42622950819674,0,0,0,0,0,0,0,107,0,162,29200,2078,58,32,1675639.6,1059676.3629270494,3343206.0,636188.0,2.19232314E7,1.6815340960946117E7,4.9024651E7,6604342.0,BENIGN
192.168.10.19-192.168.10.3-44766-3268-6,192.168.10.19,44766,192.168.10.3,3268,6,06/07/2017 02:00:44 PM,116446503,72,47,13380.0,15294.0,1313.0,0.0,185.8333333333333,247.30508045105222,3069.0,0.0,325.4042553191489,517.8473276595208,246.2418300358921,1.0219284987888386,986834.7711864406,5722643.878548496,4.9206703E7,0.0,1.16446503E8,1640091.5915492964,7324638.435084837,4.9206703E7,1.0,1.16446413E8,2531443.7608695654,9013164.311765546,4.9244823E7,3.0,44,44,0,0,2320,1520,0.6183096799394654,0.40361881884937323,0.0,3069.0,240.95798319327733,382.1430292832728,146033.2948297963,0,4,0,88,117,0,0,0,0.6527777777777778,240.9579831932773,185.83333333333334,325.40425531914894,0,0,0,0,0,0,0,112,0,128,29200,2081,44,32,901129.75,1767734.562070406,3552487.0,296.0,2.821037575E7,1.591665746280534E7,4.9206703E7,1.1080571E7,BENIGN
192.168.10.12-224.0.0.251-5353-5353-17,192.168.10.12,5353,224.0.0.251,5353,17,06/07/2017 02:00:51 PM,63752405,207,0,16807.0,0.0,153.0,37.0,81.19323671497578,44.666633065138576,0,0,0,0,263.6292701428283,3.246936331264679,309477.6941747572,2497196.9483297574,3.2022025E7,1.0,6.3752405E7,309477.6941747572,2497196.9483297574,3.2022025E7,1.0,0,0,0,0,0,0,0,0,0,1656,0,3.246936331264679,0.0,37.0,153.0,81.19323671497578,44.666633065138576,1995.1081093757307,0,0,0,0,0,0,0,0,0.0,81.19323671497584,81.19323671497584,0.0,1680,20,6347,0,0,0,1,81,0,0,0,0,206,8,3411828.666666667,3336632.088871252,6667818.0,14.0,1.7838965666666668E7,1.2885005405780176E7,3.2022025E7,6854624.0,BENIGN
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,06/07/2017 02:01:06 PM,114095625,288,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.5241984519564182,397545.7317073172,2116411.336184987,2.3901784E7,0.0,1.14095625E8,397545.7317073172,2116411.336184987,2.3901784E7,0.0,0,0,0,0,0,0,0,0,0,0,0,2.5241984519564182,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2653105.4285714286,2296429.2166677564,6249157.0,364299.0,1.0613713333333334E7,6042623.267671583,2.3901784E7,5008585.0,BENIGN
192.168.10.19-91.189.89.199-123-123-17,192.168.10.19,123,91.189.89.199,123,17,06/07/2017 02:00:56 PM,67093886,2,2,96.0,96.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2.8616616423141745,0.059617950881545305,2.2364628666666664E7,3.857373565975889E7,6.6905742E7,93933.0,6.6999953E7,6.6999953E7,0.0,6.6999953E7,6.6999953E7,6.6999675E7,6.6999675E7,0.0,6.6999675E7,6.6999675E7,0,0,0,0,16,16,0.029808975440772652,0.029808975440772652,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,1,8,94211.0,0.0,94211.0,94211.0,6.6905742E7,0.0,6.6905742E7,6.6905742E7,BENIGN
192.168.10.19-67.215.197.149-123-123-17,192.168.10.19,123,67.215.197.149,123,17,06/07/2017 02:00:55 PM,74025020,7,6,336.0,288.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,8.429582322301298,0.17561629838127704,6168751.666666665,1.8238006166854884E7,6.4000037E7,24114.0,7.4000066E7,1.2333344333333332E7,2.5311406746225707E7,6.4000037E7,1999910.0,1.0000869E7,2000173.8,594.2286596925478,2001139.0,1999607.0,0,0,0,0,56,48,0.09456262220530302,0.08105367617597402,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.8571428571428571,48.0,48.0,48.0,0,0,0,0,0,0,0,25,0,22,0,0,6,8,0,0,0,0,6.4000037E7,0.0,6.4000037E7,6.4000037E7,BENIGN
192.168.10.19-192.95.27.155-123-123-17,192.168.10.19,123,192.95.27.155,123,17,06/07/2017 02:00:52 PM,68016619,8,8,384.0,384.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,11.291358072355816,0.2352366265074128,4534441.266666667,1.4538951891931936E7,5.6983438E7,16311.0,6.8000005E7,9714286.42857143,2.0854338055166077E7,5.6999927E7,999985.0,6.8000119E7,9714302.714285715,2.0854387482059162E7,5.7000052E7,999796.0,0,0,0,0,64,64,0.1176183132537064,0.1176183132537064,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,7,8,1.1016567E7,0.0,1.1016567E7,1.1016567E7,5.6983438E7,0.0,5.6983438E7,5.6983438E7,BENIGN
